,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1980.0,15.0,20.0,0.0,65.0
1,1973.0,5.0,27.0,1.0,70.0
2,1970.0,2.0,30.0,2.0,72.0
3,1969.0,0.0,31.0,3.0,72.0
4,1969.0,0.0,31.0,4.0,72.0
5,1969.0,0.0,31.0,5.0,72.0
6,1969.0,0.0,31.0,6.0,72.0
7,1969.0,0.0,31.0,7.0,72.0
8,1969.0,0.0,31.0,8.0,72.0
9,1969.0,0.0,31.0,9.0,72.0
10,1969.0,0.0,31.0,10.0,72.0
11,1969.0,0.0,31.0,11.0,72.0
12,1969.0,0.0,31.0,12.0,72.0
13,1969.0,0.0,31.0,13.0,72.0
14,1969.0,0.0,31.0,14.0,72.0
15,1969.0,0.0,31.0,15.0,72.0
16,1969.0,0.0,31.0,16.0,72.0
17,1969.0,0.0,31.0,17.0,72.0
18,1969.0,0.0,31.0,18.0,72.0
19,1969.0,0.0,31.0,19.0,72.0
20,1969.0,0.0,31.0,20.0,72.0
