business_id,date,review_id,stars,text,type,user_id,cool,useful,funny
7SO_rX1F6rQEl-5s3wZxgQ,2011-10-03,GxaYFCprt-wyqO--vB4PHQ,4,"After my last review, somewhat scathing regarding the burgers, I got an invite from the management to come down, meet the chef and give him another try.  I thought to myself, ""how nice"", they read my review and they are concerned about the quality of their product.  I think that is admirable.  I did not take them up on the offer, because I don't feel that would be appropriate - I'm interested in doing yelp reviews because I have benefitted from reading the reviews of others, and I want to share my thoughts and feelings too :-) - I'm not looking for freebies.

So, anyway, last friday seemed like a good day to walk over to LGO and see what's shakin.  I grabbed my growler jug (still the best deal around) and the wife, called a friend to join us for a beer and walked on down to the corner.  The evening was a bit on the warm side, but it was quiet and about the normal buzz of busyness for this corner.  It's always kinda crazy and we like to sit on the patio to watch the manic drivers race around trying to find parking.  We went into the store and the wife ordered a grilled-fish sandwich.  I nervously ordered a cheeseburger with fries.  After placing our orders and getting warned that we needed to be around to pick them up, I moseyed over to the bar to get my jug filled with Stella.  Did I mention that this is an awesome deal?  So, we got some glasses and headed out to the patio.  Soon afterward, they called our name and we got our grub.  My wife's fish sandwich was consumed with muffled oooh's and ahhhhs', and she raved about the perfect texture, grilled flavor and delicious, fresh multi-grain bread.  She also raved about the slaw that came with it.  I think she liked this sandwich.  The burger, on the other hand, is still a disappointment.  I ordered it Medium Rare (the only way to order a burger) and kudos to the woman for not warning me about undercooked meats - I'm aware.  really. And I asked for cheese and put it on a hamburger bun.  It came open-faced with a pile of coarsly shredded mild cheddar cheese.  It had the appropriate veggies - lettuce, pickle and tomato, red onion slices and the special sauce.  With a pile of limp matchstick fries on the side, it was a big pile-o-food.  The portion was impressive.  That's about where it ended for me.  The burger was overcooked and the pile of shredded cheese is a bit off-putting.  It's impressive, I'll give 'em that, but a big pile of cold, shredded cheese just doesn't work for me.  The cheese needs to be melted.  A good burger has the cheese melted.  at least some.  Lot's of cheese can be fun, but it overpowers the rest of the flavors and tends to cool the burger quickly.  I scraped off about two-thirds of the cheese - enough to make a cheese crisp if I had a tortilla, and put the burger together.  Flavor was so-so.  After I added some salt and pepper, flavor was just a little better than so-so.  Burger was cooked to med-well, but still juicy.  The veggies were fresh and crispy.  A side of mayo for dipping the fries in is required for me.  I like my fries Belgian style.  The bun was a little dry and on the edge of stale, but not bad enough that I could not eat it still.  Overall, I stand by my original review of the burgers here.  I realize LGO is trying to stand out with a ""different"" presentation, and I applaud the effort, but I think it needs a bit more work to stand out at a time when everybody is doing burgers.  The fries were sub-par, limp and forgettable.  The ambiance, however, is what brings us back.  Sitting on the corner patio, sipping a beer, having a great conversation and watching the show all around me is a great way to wind down on a warm Friday night.  LGO - keep working on the burger, I'll keep coming in, but I think I'll stick with the wings for now.",review,J3I2NClEbD1Xr8lOdjxlqQ,1,2,1
K2_Hmmo5crTYWiT_1sWnfQ,2011-12-22,FSrIgThMfFIh__TubVQkxw,3,"Ok, so I'm catching up on past-due reviews.  For me, Chipotle is one of those places you go to when you want something to eat from critters that have been decently treated while giving their life for your enjoyment.  And the food is ok too.  The guacamole is always fresh, the burrito's are big and there are lot's of add-ins.  Just don't expect any gustatory excitation, it's pretty basic, non-threatening, and I think I heard somebody refer to it as gabacho mexican food.  I think that pretty well sums it up.  However, a big plus is that the iced tea is always fresh and all-you-can-drink :-)",review,J3I2NClEbD1Xr8lOdjxlqQ,0,0,0
FeI75xIG8PF_XZ6P80gLBQ,2012-06-04,eeJ10gamdNebtq028i0BvA,3,"I want to like Turf, but the food is just okay.  I've only been here twice, but it was not mind-blowing.

I'm not fond of the shepherd's pie here.  It is the most bland version I have had... even in this town.  

The wings, however, are pretty good.  I've eaten wings here with a couple Harps and have had a decent time.

Surprisingly good is their seared ahi tuna.  It is pretty weird to think an Irish pub would do this well, but they do.  A friend ordered it and after shaking my head and saying there's no way it could be good, I tried a bite and I had to eat crow.  

Turf is typically a stop on the pub crawl, so I will definitely be back again for boozing.",review,64YY0h0ZAR2nbzxbx0IwJg,2,1,0
6imLt53br7SJ3av07jjH7w,2012-11-06,SPDbkT9WXghJedf1xxYnOg,5,"It's the place to be. 

I went before heading over to Symphony Hall and seeing Ballet AZ perform Giselle. Having heard great reviews about the place, it's food and the vibe... I had to try it.

Restored into a restaurant and bar from an old department store, Hanny's has the feel straight of of New York City. The lighting is dim enough to give that sexy, intimate feelings and with long, pew style seating with individual tables, the vibe is very posh.

My roommate and I ordered the bruscetta plate and the margarita pizza. Very good choice! The bruscetta plate was on the saltier side, so be wary of that but it was delish. The pizza was much bigger than we expected. For $10 you really do get a good deal. 

We each orded drinks. A orded the peach martini and a glass of giseling. Wasn't a HUGE fan of the martini and I thought it tasted like cough syrup but it was also my very first martini so I am not holding Hannys against anything. My roommate on the other hand said it was the best Manhattan he'd ever had, which I believe.

Hannys has a modern feel with a touch of Mad Men and I simply cannot wait to go back.",review,Ypz7hxOCnrg8Y8vxHJU-sQ,0,0,0
zmFc8M-hS4uuyY0hklIpoQ,2011-01-17,A2lCUSvDJfIa5kwUoFFk8A,4,"A definite favorite in the neighborhood.

The happy hour menu is always interesting and good. In several visits I've never had anything that wasn't delicious, and the beers on special are uniformly impressive.",review,nDBly08j5URmrHQ2JCbyiw,2,3,2
PoRYjYUSjmeWM1WLsx_45w,2012-07-15,XThJY15-3koNSfynPQTJ_w,4,"The view from the top is quite amazing! I took my fiancee up here for a sunrise as part of her proposal, and she loved it!! You really can see the whole valley. As you're driving around Phoenix and have an unobstructed view to the south, you should be able to see all of the radio antennas at the top. You'd be surprised how high you are when you finally up get there. The rangers up there are friendly too. Just as some of the other reviews state though, do WATCH OUT for random bike riders, runners, and various pedestrians on your way up and in. The roads are a little narrow and there is not much room for error.",review,8qSr4B1NJL99rlylewUjOw,0,1,0
jJhNOhuGpIsJX5SEUFFWYQ,2009-04-11,t9ngnScZDCF1QTkYKGgEsQ,4,This is a great staple of Tempe.  I try to stop by here before spring training and Diamondback games.  If you're looking for a grill dog I would say this is the place to go.,review,V1k7XMUX4qHVUi-3IUYzhA,1,1,1
jJhNOhuGpIsJX5SEUFFWYQ,2010-09-12,eSoWi45YPFQYUz8fN6VdpA,1,"This is my very first review and I can't say I feel bad for what I am about to write. I took everyones review hoping for a really good hotdog and onion rings like the reviews I read (best hot dog ever, amazing hotdog., etc) oh man were we disappointed.  I'd have to say I'd go to cocstco for a hotdog for $1.50 with a drink.",review,w225lKHnX3jorkSXWgss0Q,0,1,0
jJhNOhuGpIsJX5SEUFFWYQ,2008-08-04,xTNGA-ZJ8oYS0zA5_dla7g,3,"On my way to the Airport, I decided to stop at Ted's for a bite to eat.  Being that I live really close to this place, and have never tried it before, I thought this would be a prime time to check this place out.

Well, it was alright.  Nothing special on the interior, and even though I was not blown away by my experience here, I really did enjoy myself.  We waited in line, and I ordered a jumbo beef hot dog, with Chili.  Austin got a sausage, with some of the fixings, and fries.  We both liked it, and I plan on returning again soon.  Pretty good!",review,JffajLV-Dnn-eGYgdXDxFg,1,1,1
PoRYjYUSjmeWM1WLsx_45w,2012-01-11,PKzziDJj5KLksknLXhzJWA,5,"I can't add much to what has already been said....BUT I'll try, haha!

Um, don't come here without a map, or some sort of gps device (NOTE: some spots in the mountain do not get good reception, so a map on your phone may not always fully come in). It is VERY easy to get lost!

There are many trails, I look forward to getting to know them better. So far, all I have really done is Mormon Trail and the Hidden Valley Loop.....Fat Man's pass is probably my most favorite spot...OH! AND there are some really cool rock formations on the way there (including a natural tunnel) look for the rock that looks like a big mushroom!

This is a good area to do a hike in the dark....but don't do it until you've done the trail a couple times in daylight. You can see what seems like the whole valley from up there! If you do the night hike, make sure the moon is full.....you can actually see pretty well with that and the city lights. Plus, it's GORGEOUS! (if you did mormon trail at night, you could start about an hour before sunset, then head back as the sun goes down)

Don't forget water, it is a moderate level hike.....and flashlights would be a good idea too, just in case :)",review,wLuDGMXytNVTF8ZU2gwUEQ,0,2,0
